scene,diarization,dilate_ms,m,der,miss_rate,false_alarm_rate,confusion_rate,overlap_recall,n_ref,n_pred,n_missed_speakers,n_spurious_clusters,total_speech,mask_overlap_recall,mask_overlap_false_alarm
long_00000_5639-61-121,oracle,0.0,3,0.0,0.0,0.0,0.0,1.0,3,3,0,0,1286120,1.0,0.0
long_00000_5639-61-121,oracle,200.0,3,0.0,0.0,0.0,0.0,1.0,3,3,0,0,1286120,1.0,0.008268135638765155
long_00000_5639-61-121,oracle,400.0,3,0.0,0.0,0.0,0.0,1.0,3,3,0,0,1286120,1.0,0.01653627127753031
long_00000_5639-61-121,oracle,800.0,3,0.0,0.0,0.0,0.0,1.0,3,3,0,0,1286120,1.0,0.03307254255506062
long_00000_5639-61-121,real,0.0,3,0.13507293254128697,0.13507293254128697,0.0,0.0,0.8162260967379078,3,3,0,0,1286120,0.8162260967379078,0.0
long_00000_5639-61-121,real,200.0,3,0.13507293254128697,0.13507293254128697,0.0,0.0,0.8162260967379078,3,3,0,0,1286120,0.8973643919510061,0.00011110307264590676
long_00000_5639-61-121,real,400.0,3,0.13507293254128697,0.13507293254128697,0.0,0.0,0.8162260967379078,3,3,0,0,1286120,0.9394685039370079,0.0021781369823371953
long_00000_5639-61-121,real,800.0,3,0.13507293254128697,0.13507293254128697,0.0,0.0,0.8162260967379078,3,3,0,0,1286120,0.9643325834270716,0.012686420620730283
long_00001_3729-2300-8230,oracle,0.0,3,0.0,0.0,0.0,0.0,1.0,3,3,0,0,1363840,1.0,0.0
long_00001_3729-2300-8230,oracle,200.0,3,0.0,0.0,0.0,0.0,1.0,3,3,0,0,1363840,1.0,0.0076706234299192665
long_00001_3729-2300-8230,oracle,400.0,3,0.0,0.0,0.0,0.0,1.0,3,3,0,0,1363840,1.0,0.015341246859838533
long_00001_3729-2300-8230,oracle,800.0,3,0.0,0.0,0.0,0.0,1.0,3,3,0,0,1363840,1.0,0.030682493719677066
long_00001_3729-2300-8230,real,0.0,3,0.08557455419990614,0.08557455419990614,0.0,0.0,0.7516317650258363,3,3,0,0,1363840,0.7516317650258363,0.0
long_00001_3729-2300-8230,real,200.0,3,0.08557455419990614,0.08557455419990614,0.0,0.0,0.7516317650258363,3,3,0,0,1363840,0.8600572628652585,0.0
long_00001_3729-2300-8230,real,400.0,3,0.08557455419990614,0.08557455419990614,0.0,0.0,0.7516317650258363,3,3,0,0,1363840,0.9374225667059499,0.0005968703856405929
long_00001_3729-2300-8230,real,800.0,3,0.08557455419990614,0.08557455419990614,0.0,0.0,0.7516317650258363,3,3,0,0,1363840,0.985960021756867,0.010856329223157612
long_00002_4077-237-2300,oracle,0.0,3,0.0,0.0,0.0,0.0,1.0,3,3,0,0,1331960,1.0,0.0
long_00002_4077-237-2300,oracle,200.0,3,0.0,0.0,0.0,0.0,1.0,3,3,0,0,1331960,1.0,0.008105534053374941
long_00002_4077-237-2300,oracle,400.0,3,0.0,0.0,0.0,0.0,1.0,3,3,0,0,1331960,1.0,0.016211068106749882
long_00002_4077-237-2300,oracle,800.0,3,0.0,0.0,0.0,0.0,1.0,3,3,0,0,1331960,1.0,0.032422136213499764
long_00002_4077-237-2300,real,0.0,3,0.07514114537974113,0.07412760142947236,0.0,0.0010135439502687769,0.7935085623257666,3,3,0,0,1331960,0.7935085623257666,0.0
long_00002_4077-237-2300,real,200.0,3,0.07514114537974113,0.07412760142947236,0.0,0.0010135439502687769,0.7935085623257666,3,3,0,0,1331960,0.892388306267239,0.0
long_00002_4077-237-2300,real,400.0,3,0.07514114537974113,0.07412760142947236,0.0,0.0010135439502687769,0.7935085623257666,3,3,0,0,1331960,0.9632542737879257,0.001547650408316278
long_00002_4077-237-2300,real,800.0,3,0.07514114537974113,0.07412760142947236,0.0,0.0010135439502687769,0.7935085623257666,3,3,0,0,1331960,0.9983922592445094,0.012149435652191534
long_00003_4507-7176-8455,oracle,0.0,3,0.0,0.0,0.0,0.0,1.0,3,3,0,0,1296040,1.0,0.0
long_00003_4507-7176-8455,oracle,200.0,3,0.0,0.0,0.0,0.0,1.0,3,3,0,0,1296040,1.0,0.00835038202997787
long_00003_4507-7176-8455,oracle,400.0,3,0.0,0.0,0.0,0.0,1.0,3,3,0,0,1296040,1.0,0.01670076405995574
