diarization,dilate_ms,scene,speaker,system,m,depth,si_sdr,deflation_index,n_accepted_before,refine_rounds,cluster,n_clusters
real,0.0,long_00000_5639-61-121,s2,no_recursion,3,2,-2.0728852254748267,,,0,SPEAKER_02,3
real,0.0,long_00000_5639-61-121,s3,no_recursion,3,1,35.45616652259341,,,0,SPEAKER_00,3
real,0.0,long_00000_5639-61-121,s3,no_recursion,3,2,-0.7496003339622626,,,0,SPEAKER_00,3
real,0.0,long_00000_5639-61-121,s1,ungated_deflation,3,1,47.700052610728264,0,0,0,SPEAKER_01,3
real,0.0,long_00000_5639-61-121,s1,ungated_deflation,3,2,-6.057200567923697,0,0,0,SPEAKER_01,3
real,0.0,long_00000_5639-61-121,s2,ungated_deflation,3,1,28.42555418294658,1,1,0,SPEAKER_02,3
real,0.0,long_00000_5639-61-121,s2,ungated_deflation,3,2,-1.673072029276793,1,1,0,SPEAKER_02,3
real,0.0,long_00000_5639-61-121,s3,ungated_deflation,3,1,35.45616652259341,2,2,0,SPEAKER_00,3
real,0.0,long_00000_5639-61-121,s3,ungated_deflation,3,2,-5.541237885395711,2,2,0,SPEAKER_00,3
real,0.0,long_00000_5639-61-121,s1,gated_deflation,3,1,47.700052610728264,0,0,0,SPEAKER_01,3
real,0.0,long_00000_5639-61-121,s1,gated_deflation,3,2,-6.057200567923697,0,0,0,SPEAKER_01,3
real,0.0,long_00000_5639-61-121,s2,gated_deflation,3,1,28.42555418294658,1,1,0,SPEAKER_02,3
real,0.0,long_00000_5639-61-121,s2,gated_deflation,3,2,-1.673072029276793,1,1,0,SPEAKER_02,3
real,0.0,long_00000_5639-61-121,s3,gated_deflation,3,1,35.45616652259341,2,2,0,SPEAKER_00,3
real,0.0,long_00000_5639-61-121,s3,gated_deflation,3,2,-5.541237885395711,2,2,0,SPEAKER_00,3
real,0.0,long_00000_5639-61-121,s1,coarse_to_fine,3,1,47.700052610728264,,,0,SPEAKER_01,3
real,0.0,long_00000_5639-61-121,s1,coarse_to_fine,3,2,-6.057200567923697,,,0,SPEAKER_01,3
real,0.0,long_00000_5639-61-121,s2,coarse_to_fine,3,1,28.42555418294658,,,0,SPEAKER_02,3
real,0.0,long_00000_5639-61-121,s2,coarse_to_fine,3,2,-2.0728852254748267,,,0,SPEAKER_02,3
real,0.0,long_00000_5639-61-121,s3,coarse_to_fine,3,1,35.45616652259341,,,0,SPEAKER_00,3
real,0.0,long_00000_5639-61-121,s3,coarse_to_fine,3,2,-0.7496003339622626,,,0,SPEAKER_00,3
real,400.0,long_00000_5639-61-121,s1,no_recursion,3,1,12.820668360011922,,,0,SPEAKER_01,3
real,400.0,long_00000_5639-61-121,s1,no_recursion,3,2,-5.813135935576298,,,0,SPEAKER_01,3
real,400.0,long_00000_5639-61-121,s2,no_recursion,3,1,28.42555418294658,,,0,SPEAKER_02,3
real,400.0,long_00000_5639-61-121,s2,no_recursion,3,2,0.41835812061503325,,,0,SPEAKER_02,3
real,400.0,long_00000_5639-61-121,s3,no_recursion,3,1,35.45616652259341,,,0,SPEAKER_00,3
real,400.0,long_00000_5639-61-121,s3,no_recursion,3,2,-0.33053845269782656,,,0,SPEAKER_00,3
real,400.0,long_00000_5639-61-121,s1,ungated_deflation,3,1,12.820668360011922,0,0,0,SPEAKER_01,3
real,400.0,long_00000_5639-61-121,s1,ungated_deflation,3,2,-5.813135935576298,0,0,0,SPEAKER_01,3
real,400.0,long_00000_5639-61-121,s2,ungated_deflation,3,1,28.42555418294658,1,1,0,SPEAKER_02,3
real,400.0,long_00000_5639-61-121,s2,ungated_deflation,3,2,0.25156978905913385,1,1,0,SPEAKER_02,3
real,400.0,long_00000_5639-61-121,s3,ungated_deflation,3,1,35.45616652259341,2,2,0,SPEAKER_00,3
real,400.0,long_00000_5639-61-121,s3,ungated_deflation,3,2,-5.605614468027903,2,2,0,SPEAKER_00,3
real,400.0,long_00000_5639-61-121,s1,gated_deflation,3,1,12.820668360011922,0,0,0,SPEAKER_01,3
real,400.0,long_00000_5639-61-121,s1,gated_deflation,3,2,-5.813135935576298,0,0,0,SPEAKER_01,3
real,400.0,long_00000_5639-61-121,s2,gated_deflation,3,1,28.42555418294658,1,1,0,SPEAKER_02,3
real,400.0,long_00000_5639-61-121,s2,gated_deflation,3,2,0.25156978905913385,1,1,0,SPEAKER_02,3
real,400.0,long_00000_5639-61-121,s3,gated_deflation,3,1,35.45616652259341,2,2,0,SPEAKER_00,3
real,400.0,long_00000_5639-61-121,s3,gated_deflation,3,2,-5.605614468027903,2,2,0,SPEAKER_00,3
real,400.0,long_00000_5639-61-121,s1,coarse_to_fine,3,1,12.820668360011922,,,0,SPEAKER_01,3
real,400.0,long_00000_5639-61-121,s1,coarse_to_fine,3,2,-5.813135935576298,,,0,SPEAKER_01,3
real,400.0,long_00000_5639-61-121,s2,coarse_to_fine,3,1,28.42555418294658,,,0,SPEAKER_02,3
real,400.0,long_00000_5639-61-121,s2,coarse_to_fine,3,2,0.41835812061503325,,,0,SPEAKER_02,3
real,400.0,long_00000_5639-61-121,s3,coarse_to_fine,3,1,35.45616652259341,,,0,SPEAKER_00,3
real,400.0,long_00000_5639-61-121,s3,coarse_to_fine,3,2,-0.33053845269782656,,,0,SPEAKER_00,3
oracle,0.0,long_00001_3729-2300-8230,s1,no_recursion,3,1,73.45708658929459,,,0,s1,3
oracle,0.0,long_00001_3729-2300-8230,s1,no_recursion,3,2,2.992716065849814,,,0,s1,3
oracle,0.0,long_00001_3729-2300-8230,s2,no_recursion,3,1,44.559914846736405,,,0,s2,3
oracle,0.0,long_00001_3729-2300-8230,s2,no_recursion,3,2,5.576527015091948,,,0,s2,3
oracle,0.0,long_00001_3729-2300-8230,s3,no_recursion,3,1,52.48146327465544,,,0,s3,3
oracle,0.0,long_00001_3729-2300-8230,s3,no_recursion,3,2,-4.547991386360529,,,0,s3,3
oracle,0.0,long_00001_3729-2300-8230,s1,ungated_deflation,3,1,73.45708658929459,0,0,0,s1,3
oracle,0.0,long_00001_3729-2300-8230,s1,ungated_deflation,3,2,2.992716065849814,0,0,0,s1,3
oracle,0.0,long_00001_3729-2300-8230,s2,ungated_deflation,3,1,43.77738191432924,1,1,0,s2,3
oracle,0.0,long_00001_3729-2300-8230,s2,ungated_deflation,3,2,4.632814063156784,1,1,0,s2,3
oracle,0.0,long_00001_3729-2300-8230,s3,ungated_deflation,3,1,48.265780277324794,2,2,0,s3,3
oracle,0.0,long_00001_3729-2300-8230,s3,ungated_deflation,3,2,-6.0750262090692875,2,2,0,s3,3
oracle,0.0,long_00001_3729-2300-8230,s1,gated_deflation,3,1,73.45708658929459,0,0,0,s1,3
oracle,0.0,long_00001_3729-2300-8230,s1,gated_deflation,3,2,2.992716065849814,0,0,0,s1,3
oracle,0.0,long_00001_3729-2300-8230,s2,gated_deflation,3,1,43.77738191432924,1,1,0,s2,3
oracle,0.0,long_00001_3729-2300-8230,s2,gated_deflation,3,2,4.632814063156784,1,1,0,s2,3
oracle,0.0,long_00001_3729-2300-8230,s3,gated_deflation,3,1,48.265780277324794,2,2,0,s3,3
oracle,0.0,long_00001_3729-2300-8230,s3,gated_deflation,3,2,-6.0750262090692875,2,2,0,s3,3
oracle,0.0,long_00001_3729-2300-8230,s1,coarse_to_fine,3,1,73.45708658929459,,,0,s1,3
oracle,0.0,long_00001_3729-2300-8230,s1,coarse_to_fine,3,2,2.992716065849814,,,0,s1,3
oracle,0.0,long_00001_3729-2300-8230,s2,coarse_to_fine,3,1,44.559914846736405,,,0,s2,3
oracle,0.0,long_00001_3729-2300-8230,s2,coarse_to_fine,3,2,5.576527015091948,,,0,s2,3
oracle,0.0,long_00001_3729-2300-8230,s3,coarse_to_fine,3,1,52.48146327465544,,,0,s3,3
oracle,0.0,long_00001_3729-2300-8230,s3,coarse_to_fine,3,2,-4.547991386360529,,,0,s3,3
oracle,400.0,long_00001_3729-2300-8230,s1,no_recursion,3,1,34.39048029058295,,,0,s1,3
oracle,400.0,long_00001_3729-2300-8230,s1,no_recursion,3,2,2.9893100849133614,,,0,s1,3
oracle,400.0,long_00001_3729-2300-8230,s2,no_recursion,3,1,5.969039493044058,,,0,s2,3
oracle,400.0,long_00001_3729-2300-8230,s2,no_recursion,3,2,5.584186906301469,,,0,s2,3
oracle,400.0,long_00001_3729-2300-8230,s3,no_recursion,3,1,13.95797560371447,,,0,s3,3
oracle,400.0,long_00001_3729-2300-8230,s3,no_recursion,3,2,-4.528498415912941,,,0,s3,3
